CODIGOCIE,ESCOLA,DIRETORIA,MUNICIPIO,SERIE,IDPort,IDMat,IndDesemp,IndFluxo,IDESP,META,ORDEM,_REGICAO_NOME,_ANO,_DIRETORIA_ID,_MUNICIPIO_ID,_ESCOLA_ID,_ERROR_ID,_ERROR_INFOS,error_id,request_data
020333,CAMILO LELLIS PROFESSOR,SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL,5º ANO EF,"3,4847","1,9700","2,73","1,0000","2,73",,1.0,INTERIOR,2021,20413,530,020333,,,,
020424,BENEDITO NASCIMENTO ROSAS PROFESSOR,SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL,9º ANO EF,"2,5813","1,7207","2,15","0,9500","2,04",,2.0,INTERIOR,2021,20413,530,020424,,,,
020424,BENEDITO NASCIMENTO ROSAS PROFESSOR,SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL,3º ANO EM,"0,8333","0,6250","0,73","0,8571","0,63",,3.0,INTERIOR,2021,20413,530,020424,,,,
020436,BATISTA NOVAIS CORONEL,SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL,9º ANO EF,"3,3327","2,0613","2,70","1,0000","2,70",,2.0,INTERIOR,2021,20413,530,020436,,,,
020436,BATISTA NOVAIS CORONEL,SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL,3º ANO EM,"3,4850","1,8937","2,69","1,0000","2,69",,3.0,INTERIOR,2021,20413,530,020436,,,,
020412,ALMEIDA VERGUEIRO DR,SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL,5º ANO EF,"5,2170","4,8910","5,05","1,0000","5,05",,1.0,INTERIOR,2021,20413,530,020412,,,,
041506,ABELARDO CESAR DOUTOR,SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL,5º ANO EF,"0,8890","0,2223","0,56","1,0000","0,56",,1.0,INTERIOR,2021,20413,530,041506,,,,
041506,ABELARDO CESAR DOUTOR,SAO JOAO DA BOA VISTA,ESPIRITO SANTO DO PINHAL,9º ANO EF,"1,3727","0,3920","0,88","1,0000","0,88",,2.0,INTERIOR,2021,20413,530,041506,,,,
907431,JOSE ZILAH GONCALVES DOS SANTOS PROFESSOR,SAO JOAO DA BOA VISTA,ITOBI,5º ANO EF,"5,0390","4,4190","4,73","1,0000","4,73",,1.0,INTERIOR,2021,20413,386,907431,,,,
919238,BAIRRO NOSSA SENHORA APARECIDA,SAO JOAO DA BOA VISTA,ITOBI,5º ANO EF,"2,7083","2,7083","2,71","1,0000","2,71",,1.0,INTERIOR,2021,20413,386,919238,,,,
